algorithm,dataset,url
DT,antmaze-medium-play-v2,tlab/CORL/runs/s0vm7v3p
DT,antmaze-umaze-v2,tlab/CORL/runs/w9xsjej5
DT,antmaze-umaze-v2,tlab/CORL/runs/vjuin367
DT,antmaze-umaze-v2,tlab/CORL/runs/v3gg1r65
DT,antmaze-umaze-v2,tlab/CORL/runs/nac148qy
SAC-N,antmaze-large-play-v2,tlab/CORL/runs/ar8vd36z
SAC-N,antmaze-large-play-v2,tlab/CORL/runs/tsihyyyt
SAC-N,antmaze-large-play-v2,tlab/CORL/runs/ailbgx6w
SAC-N,antmaze-large-play-v2,tlab/CORL/runs/i952288w
SAC-N,antmaze-medium-play-v2,tlab/CORL/runs/uu0ccdnv
SAC-N,antmaze-medium-play-v2,tlab/CORL/runs/emkrjuku
SAC-N,antmaze-medium-play-v2,tlab/CORL/runs/qeknz9xa
SAC-N,antmaze-medium-play-v2,tlab/CORL/runs/bxne7xf4
SAC-N,antmaze-umaze-v2,tlab/CORL/runs/b5oigkoe
SAC-N,antmaze-umaze-v2,tlab/CORL/runs/i6cibz6y
SAC-N,antmaze-umaze-v2,tlab/CORL/runs/r8heznya
SAC-N,antmaze-umaze-v2,tlab/CORL/runs/jlay7xyn
EDAC,antmaze-large-play-v2,tlab/CORL/runs/3f1hugcx
EDAC,antmaze-large-play-v2,tlab/CORL/runs/wn40kcqj
EDAC,antmaze-large-play-v2,tlab/CORL/runs/u5aeouah
EDAC,antmaze-large-play-v2,tlab/CORL/runs/061l8t9g
EDAC,antmaze-medium-play-v2,tlab/CORL/runs/fefui203
EDAC,antmaze-medium-play-v2,tlab/CORL/runs/lwqa698k
EDAC,antmaze-medium-play-v2,tlab/CORL/runs/aj12ivh5
EDAC,antmaze-medium-play-v2,tlab/CORL/runs/j8drml0r
EDAC,antmaze-umaze-v2,tlab/CORL/runs/9q7ycf99
EDAC,antmaze-umaze-v2,tlab/CORL/runs/mhnl5d2u
EDAC,antmaze-umaze-v2,tlab/CORL/runs/nv1ncdv1
EDAC,antmaze-umaze-v2,tlab/CORL/runs/ix5ky4oz
10% BC,antmaze-large-diverse-v2,tlab/CORL/runs/x2s54uam
10% BC,antmaze-large-diverse-v2,tlab/CORL/runs/176xlvpk
10% BC,antmaze-large-diverse-v2,tlab/CORL/runs/3vpeous1
10% BC,antmaze-large-diverse-v2,tlab/CORL/runs/hwjcscht
10% BC,antmaze-medium-diverse-v2,tlab/CORL/runs/8kttz1sn
10% BC,antmaze-medium-diverse-v2,tlab/CORL/runs/ff25hg32
10% BC,antmaze-medium-diverse-v2,tlab/CORL/runs/78amw82p
10% BC,antmaze-medium-diverse-v2,tlab/CORL/runs/cpjh73vs
10% BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/hp0bkr3b
10% BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/3ipfrw0t
10% BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/fro1zetk
10% BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/fn2ayr34
BC,antmaze-large-diverse-v2,tlab/CORL/runs/q1qo78cv
BC,antmaze-large-diverse-v2,tlab/CORL/runs/pi0kt1h0
BC,antmaze-large-diverse-v2,tlab/CORL/runs/i1m7zlc7
BC,antmaze-large-diverse-v2,tlab/CORL/runs/82lwzknn
BC,antmaze-medium-diverse-v2,tlab/CORL/runs/7abomo1w
BC,antmaze-medium-diverse-v2,tlab/CORL/runs/lp1mc9wm
BC,antmaze-medium-diverse-v2,tlab/CORL/runs/yqbyo6si
BC,antmaze-medium-diverse-v2,tlab/CORL/runs/uu0owh56
BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/k1gm3rmp
BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/dupp1690
BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/p1pfswg5
BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/ymfr22je
AWAC,antmaze-large-diverse-v2,tlab/CORL/runs/dscbc6bc
AWAC,antmaze-large-diverse-v2,tlab/CORL/runs/z156oi6e
AWAC,antmaze-large-diverse-v2,tlab/CORL/runs/qre0pruu
AWAC,antmaze-large-diverse-v2,tlab/CORL/runs/xdypawgj
AWAC,antmaze-medium-diverse-v2,tlab/CORL/runs/abf0hr8n
AWAC,antmaze-medium-diverse-v2,tlab/CORL/runs/re1tsj7q
AWAC,antmaze-medium-diverse-v2,tlab/CORL/runs/xqp0p1tj
AWAC,antmaze-medium-diverse-v2,tlab/CORL/runs/t5i68m4m
AWAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/xuklmxcl
AWAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/ci1ipp6g
AWAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/59i07yhh
AWAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/sgl07j7a
SAC-N,antmaze-large-diverse-v2,tlab/CORL/runs/k7ibnxhy
SAC-N,antmaze-large-diverse-v2,tlab/CORL/runs/pdx9por7
SAC-N,antmaze-large-diverse-v2,tlab/CORL/runs/d38mt6p0
SAC-N,antmaze-large-diverse-v2,tlab/CORL/runs/95oo01bk
SAC-N,antmaze-medium-diverse-v2,tlab/CORL/runs/k97b6k5u
SAC-N,antmaze-medium-diverse-v2,tlab/CORL/runs/9p5pfuf5
SAC-N,antmaze-medium-diverse-v2,tlab/CORL/runs/crh0a497
SAC-N,antmaze-medium-diverse-v2,tlab/CORL/runs/93kw5nzv
SAC-N,antmaze-umaze-diverse-v2,tlab/CORL/runs/8afnikfe
SAC-N,antmaze-umaze-diverse-v2,tlab/CORL/runs/9vt0ti5k
SAC-N,antmaze-umaze-diverse-v2,tlab/CORL/runs/1k9vjghg
SAC-N,antmaze-umaze-diverse-v2,tlab/CORL/runs/ovvavzxb
EDAC,antmaze-large-diverse-v2,tlab/CORL/runs/v25gsp4y
EDAC,antmaze-large-diverse-v2,tlab/CORL/runs/v3xh5etj
EDAC,antmaze-large-diverse-v2,tlab/CORL/runs/ue4f3kbw
EDAC,antmaze-large-diverse-v2,tlab/CORL/runs/ajal32lc
EDAC,antmaze-medium-diverse-v2,tlab/CORL/runs/hubnt7ft
EDAC,antmaze-medium-diverse-v2,tlab/CORL/runs/g5q10m44
EDAC,antmaze-medium-diverse-v2,tlab/CORL/runs/vgu6oirc
EDAC,antmaze-medium-diverse-v2,tlab/CORL/runs/8e546u0p
EDAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/5ro1a79t
EDAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/ox1pady5
EDAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/rvpporaw
EDAC,antmaze-umaze-diverse-v2,tlab/CORL/runs/69z5r1tl
IQL,antmaze-large-diverse-v2,tlab/CORL/runs/p91kz1k1
IQL,antmaze-large-diverse-v2,tlab/CORL/runs/0a7zgwep
IQL,antmaze-large-diverse-v2,tlab/CORL/runs/yxhl3ws5
IQL,antmaze-large-diverse-v2,tlab/CORL/runs/l6d643mk
IQL,antmaze-medium-diverse-v2,tlab/CORL/runs/pby1ya7l
IQL,antmaze-medium-diverse-v2,tlab/CORL/runs/5qcqqkyr
IQL,antmaze-medium-diverse-v2,tlab/CORL/runs/pslw6kyn
IQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/d1bhjk3p
IQL,antmaze-medium-diverse-v2,tlab/CORL/runs/zq0xgzgn
IQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/arnw9pcg
IQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/ey8pxi46
IQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/63j9ime2
TD3+BC,antmaze-large-diverse-v2,tlab/CORL/runs/q5hxh023
TD3+BC,antmaze-large-diverse-v2,tlab/CORL/runs/rlreidub
TD3+BC,antmaze-large-diverse-v2,tlab/CORL/runs/vr1506ft
TD3+BC,antmaze-large-diverse-v2,tlab/CORL/runs/x6pfzk5h
TD3+BC,antmaze-medium-diverse-v2,tlab/CORL/runs/k9nl1lqo
TD3+BC,antmaze-medium-diverse-v2,tlab/CORL/runs/0lxwc925
TD3+BC,antmaze-medium-diverse-v2,tlab/CORL/runs/6tejd5kf
TD3+BC,antmaze-medium-diverse-v2,tlab/CORL/runs/xzpq4u3k
TD3+BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/ulftdkfk
TD3+BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/3ahhw3q0
TD3+BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/h9pxlnai
TD3+BC,antmaze-umaze-diverse-v2,tlab/CORL/runs/o6zv6o09
DT,antmaze-large-diverse-v2,tlab/CORL/runs/u6wabr2z
DT,antmaze-large-diverse-v2,tlab/CORL/runs/rrcdzrq7
DT,antmaze-large-diverse-v2,tlab/CORL/runs/w8yi7qjn
DT,antmaze-large-diverse-v2,tlab/CORL/runs/3tot8bwr
DT,antmaze-medium-diverse-v2,tlab/CORL/runs/s9qb61hk
DT,antmaze-medium-diverse-v2,tlab/CORL/runs/7qkjasye
DT,antmaze-medium-diverse-v2,tlab/CORL/runs/18ps31gs
DT,antmaze-medium-diverse-v2,tlab/CORL/runs/upc73fx3
DT,antmaze-umaze-diverse-v2,tlab/CORL/runs/et3nrjye
DT,antmaze-umaze-diverse-v2,tlab/CORL/runs/wwi8jedd
DT,antmaze-umaze-diverse-v2,tlab/CORL/runs/8m8ffzfl
DT,antmaze-umaze-diverse-v2,tlab/CORL/runs/7abiphxz
IQL,relocate-human-v1,tlab/CORL/runs/i2s2j8i5
IQL,relocate-human-v1,tlab/CORL/runs/rngiqdvr
IQL,relocate-human-v1,tlab/CORL/runs/5u64dj8e
IQL,relocate-human-v1,tlab/CORL/runs/zcq9utiz
IQL,relocate-expert-v1,tlab/CORL/runs/388v30kc
IQL,relocate-expert-v1,tlab/CORL/runs/qzg6j3y1
IQL,relocate-expert-v1,tlab/CORL/runs/gl3esr43
IQL,relocate-expert-v1,tlab/CORL/runs/59o0u5g2
IQL,relocate-cloned-v1,tlab/CORL/runs/l566fh6t
IQL,relocate-cloned-v1,tlab/CORL/runs/cbgjupnb
IQL,relocate-cloned-v1,tlab/CORL/runs/o0is0jml
IQL,relocate-cloned-v1,tlab/CORL/runs/gqdep3in
IQL,hammer-human-v1,tlab/CORL/runs/ndzrylhn
IQL,hammer-human-v1,tlab/CORL/runs/w8tib4nq
IQL,hammer-human-v1,tlab/CORL/runs/ji2zsynd
IQL,hammer-human-v1,tlab/CORL/runs/jbno3nx0
IQL,hammer-expert-v1,tlab/CORL/runs/2v1sm9t2
IQL,hammer-expert-v1,tlab/CORL/runs/7h05ijht
IQL,hammer-expert-v1,tlab/CORL/runs/cnmncyas
IQL,hammer-expert-v1,tlab/CORL/runs/7oomdqw2
IQL,hammer-cloned-v1,tlab/CORL/runs/sqq1maqv
IQL,hammer-cloned-v1,tlab/CORL/runs/51ci5vmi
IQL,hammer-cloned-v1,tlab/CORL/runs/376pgvjb
IQL,door-human-v1,tlab/CORL/runs/7cptqv3m
IQL,door-human-v1,tlab/CORL/runs/8qhgzgrd
IQL,door-human-v1,tlab/CORL/runs/dpdcjz32
IQL,hammer-cloned-v1,tlab/CORL/runs/q46n2xc0
IQL,door-expert-v1,tlab/CORL/runs/9xi9pp31
IQL,door-human-v1,tlab/CORL/runs/r5s1taxi
IQL,door-expert-v1,tlab/CORL/runs/c9y9cygf
IQL,door-expert-v1,tlab/CORL/runs/ouh15i78
IQL,door-expert-v1,tlab/CORL/runs/8tjub9t1
IQL,door-cloned-v1,tlab/CORL/runs/eory1n9f
IQL,door-cloned-v1,tlab/CORL/runs/gmgn36xz
IQL,door-cloned-v1,tlab/CORL/runs/8sbctwih
IQL,door-cloned-v1,tlab/CORL/runs/jd2zor0j
IQL,pen-human-v1,tlab/CORL/runs/dc0wiy8m
IQL,pen-human-v1,tlab/CORL/runs/r1449frb
IQL,pen-human-v1,tlab/CORL/runs/zz4f7g85
IQL,pen-human-v1,tlab/CORL/runs/vc5fzv6z
IQL,pen-expert-v1,tlab/CORL/runs/rysocpho
IQL,pen-expert-v1,tlab/CORL/runs/7cq4lpb9
IQL,pen-expert-v1,tlab/CORL/runs/v2okidht
IQL,pen-expert-v1,tlab/CORL/runs/qdhdtyzq
IQL,pen-cloned-v1,tlab/CORL/runs/2l0ud08j
IQL,pen-cloned-v1,tlab/CORL/runs/048oglhq
IQL,pen-cloned-v1,tlab/CORL/runs/d6se70vf
IQL,pen-cloned-v1,tlab/CORL/runs/siglsbpl
TD3+BC,relocate-human-v1,tlab/CORL/runs/tfj4102v
TD3+BC,relocate-human-v1,tlab/CORL/runs/504nu7lm
TD3+BC,relocate-human-v1,tlab/CORL/runs/yyol4l9r
TD3+BC,relocate-human-v1,tlab/CORL/runs/3slcqx3e
TD3+BC,relocate-expert-v1,tlab/CORL/runs/o7t0kda0
TD3+BC,relocate-expert-v1,tlab/CORL/runs/x38fwus5
TD3+BC,relocate-expert-v1,tlab/CORL/runs/cp5abb79
TD3+BC,relocate-expert-v1,tlab/CORL/runs/2k1dv28e
TD3+BC,relocate-cloned-v1,tlab/CORL/runs/ftrcsjbr
TD3+BC,relocate-cloned-v1,tlab/CORL/runs/su0lc1eq
TD3+BC,relocate-cloned-v1,tlab/CORL/runs/23ozl6iu
TD3+BC,relocate-cloned-v1,tlab/CORL/runs/gk6hn2th
TD3+BC,hammer-human-v1,tlab/CORL/runs/1f9p7umj
TD3+BC,hammer-human-v1,tlab/CORL/runs/ktyl3py5
TD3+BC,hammer-human-v1,tlab/CORL/runs/5nocwd0s
TD3+BC,hammer-human-v1,tlab/CORL/runs/19ep2hhf
TD3+BC,hammer-expert-v1,tlab/CORL/runs/8fvepzs1
TD3+BC,hammer-expert-v1,tlab/CORL/runs/76h43fi7
TD3+BC,hammer-expert-v1,tlab/CORL/runs/s6efgsfl
TD3+BC,hammer-expert-v1,tlab/CORL/runs/6fhsckee
TD3+BC,hammer-cloned-v1,tlab/CORL/runs/mn8wj4vx
TD3+BC,hammer-cloned-v1,tlab/CORL/runs/2njey5rs
TD3+BC,hammer-cloned-v1,tlab/CORL/runs/aak4jk4q
TD3+BC,hammer-cloned-v1,tlab/CORL/runs/4rpg8n7s
TD3+BC,door-human-v1,tlab/CORL/runs/o1w608uo
TD3+BC,door-human-v1,tlab/CORL/runs/3ah048zk
TD3+BC,door-human-v1,tlab/CORL/runs/tgo85qxi
TD3+BC,door-human-v1,tlab/CORL/runs/0na2k76t
TD3+BC,door-expert-v1,tlab/CORL/runs/fg3r94l7
TD3+BC,door-expert-v1,tlab/CORL/runs/m2xkvcra
TD3+BC,door-expert-v1,tlab/CORL/runs/vj3tyaqq
TD3+BC,door-expert-v1,tlab/CORL/runs/k6wb9o7n
TD3+BC,door-cloned-v1,tlab/CORL/runs/y1658d82
TD3+BC,door-cloned-v1,tlab/CORL/runs/jgmexzrz
TD3+BC,door-cloned-v1,tlab/CORL/runs/65woeq5y
TD3+BC,door-cloned-v1,tlab/CORL/runs/0soehz0q
TD3+BC,pen-human-v1,tlab/CORL/runs/veinxlsl
TD3+BC,pen-human-v1,tlab/CORL/runs/w623y6nm
TD3+BC,pen-human-v1,tlab/CORL/runs/904ibgqu
TD3+BC,pen-human-v1,tlab/CORL/runs/hycdfakt
TD3+BC,pen-expert-v1,tlab/CORL/runs/n3l285rv
TD3+BC,pen-expert-v1,tlab/CORL/runs/c63peo3w
TD3+BC,pen-expert-v1,tlab/CORL/runs/4ml1wstn
TD3+BC,pen-expert-v1,tlab/CORL/runs/tle46su1
TD3+BC,pen-cloned-v1,tlab/CORL/runs/o966f6gc
TD3+BC,pen-cloned-v1,tlab/CORL/runs/r7ug0kww
TD3+BC,pen-cloned-v1,tlab/CORL/runs/gmoq93do
TD3+BC,pen-cloned-v1,tlab/CORL/runs/7wjpi5qq
BC,relocate-human-v1,tlab/CORL/runs/f65zvj4o
BC,relocate-human-v1,tlab/CORL/runs/p1zpysnh
BC,relocate-human-v1,tlab/CORL/runs/mv3fa0m0
BC,relocate-human-v1,tlab/CORL/runs/8yfoy1lf
BC,relocate-expert-v1,tlab/CORL/runs/io5b9chm
BC,relocate-expert-v1,tlab/CORL/runs/o8mxy0ef
BC,relocate-expert-v1,tlab/CORL/runs/13dp14jz
BC,relocate-expert-v1,tlab/CORL/runs/9jwfaaq8
BC,relocate-cloned-v1,tlab/CORL/runs/tpdeaioz
BC,relocate-cloned-v1,tlab/CORL/runs/4xj7wpkz
BC,relocate-cloned-v1,tlab/CORL/runs/blfigkcf
BC,relocate-cloned-v1,tlab/CORL/runs/s681x8c3
BC,hammer-human-v1,tlab/CORL/runs/ohcmuvhf
BC,hammer-human-v1,tlab/CORL/runs/wky03m4f
BC,hammer-human-v1,tlab/CORL/runs/ospra6o4
BC,hammer-human-v1,tlab/CORL/runs/4hgbkyii
BC,hammer-expert-v1,tlab/CORL/runs/veyiqvwm
BC,hammer-expert-v1,tlab/CORL/runs/iefob6py
BC,hammer-expert-v1,tlab/CORL/runs/0elxsh4v
BC,hammer-expert-v1,tlab/CORL/runs/97x5w6ri
BC,hammer-cloned-v1,tlab/CORL/runs/mceyva7f
BC,hammer-cloned-v1,tlab/CORL/runs/qmfznoe0
BC,hammer-cloned-v1,tlab/CORL/runs/mh0f7tfa
BC,hammer-cloned-v1,tlab/CORL/runs/sufi5c7t
BC,door-human-v1,tlab/CORL/runs/ags47j3o
BC,door-human-v1,tlab/CORL/runs/7tolkiip
BC,door-human-v1,tlab/CORL/runs/plaufnly
BC,door-human-v1,tlab/CORL/runs/ccelg0rr
BC,door-expert-v1,tlab/CORL/runs/1l3879rw
BC,door-expert-v1,tlab/CORL/runs/yjnjzjdi
BC,door-expert-v1,tlab/CORL/runs/gzvbgoqc
BC,door-expert-v1,tlab/CORL/runs/8d8e2j92
BC,door-cloned-v1,tlab/CORL/runs/60soq2ty
BC,door-cloned-v1,tlab/CORL/runs/vjddul64
BC,door-cloned-v1,tlab/CORL/runs/n3n67jvq
BC,door-cloned-v1,tlab/CORL/runs/5qa4yvlg
BC,pen-human-v1,tlab/CORL/runs/g2tibpcp
BC,pen-human-v1,tlab/CORL/runs/iqh7t6l4
BC,pen-human-v1,tlab/CORL/runs/e2mu7nd9
BC,pen-human-v1,tlab/CORL/runs/wzmc2sxm
BC,pen-expert-v1,tlab/CORL/runs/wyk7fphz
BC,pen-expert-v1,tlab/CORL/runs/4gv0kee4
BC,pen-expert-v1,tlab/CORL/runs/ud3ksqym
BC,pen-expert-v1,tlab/CORL/runs/aqwfqqor
BC,pen-cloned-v1,tlab/CORL/runs/pu252roz
BC,pen-cloned-v1,tlab/CORL/runs/vz9iz9kf
BC,pen-cloned-v1,tlab/CORL/runs/nqbvhn0k
BC,pen-cloned-v1,tlab/CORL/runs/5ki0sfuj
CQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/23ucy4d8
CQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/89wa6a31
CQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/oq48z3ai
CQL,antmaze-umaze-diverse-v2,tlab/CORL/runs/rjqb59zf
CQL,antmaze-medium-diverse-v2,tlab/CORL/runs/4xhpny6g
CQL,antmaze-medium-diverse-v2,tlab/CORL/runs/9ricjc5x
CQL,antmaze-medium-diverse-v2,tlab/CORL/runs/smhkhtll
CQL,antmaze-medium-diverse-v2,tlab/CORL/runs/0gbh6te4
CQL,antmaze-large-diverse-v2,tlab/CORL/runs/hdnlotos
CQL,antmaze-large-diverse-v2,tlab/CORL/runs/fnqhas74
CQL,antmaze-large-diverse-v2,tlab/CORL/runs/lcw09by0
